id_tienda,tienda,codigo_postal,d_codigo,d_asenta,d_tipo_asenta,D_mnpio,c_mnpio,d_zona,id_sucursal,sucursal,latitud,longitud,store_name,store_id,address
1445,Chedraui,1000,1000,San Ángel,Colonia,Álvaro Obregón,10,Urbano,1445,Pedregal,19.335124,-99.198477,Selecto Chedraui,22,Av. San Jerónimo 236
49,City Market,1000,1000,San Ángel,Colonia,Álvaro Obregón,10,Urbano,49,San Jerónimo,19.335648,-99.195824,City Market,9,Av San Jerónimo 190
92,Costco,1000,1000,San Ángel,Colonia,Álvaro Obregón,10,Urbano,92,Mixcoac,19.3872687,-99.1909344,Costco,7,Blvd. Adolfo Lopez Mateos 1181
4414,La Comer,1000,1000,San Ángel,Colonia,Álvaro Obregón,10,Urbano,4414,La Comer Coyoacán,19.345009,-99.171911,La Comer,1423,"MIGUEL ANGEL DE QUEVEDO 443, ROMERO DE TERREROS, 4310 COYOACAN, MEXICO, DISTRITO FEDERAL"
10002,Soriana,1000,1000,San Ángel,Colonia,Álvaro Obregón,10,Urbano,10002,San Jeronimo,19.330351,-99.208839,Soriana,3729,"Anillo Perif. 630, Jardines del Pedregal, Álvaro Obregón, 01900 Ciudad de México, CDMX"
4434,Fresko,1000,1000,San Ángel,Colonia,Álvaro Obregón,10,Urbano,4434,Fresko Miguel Ángel de Quevedo,19.342594,-99.146575,Fresko,45,"AV. MIGUEL ANGEL DE QUEVEDO 1144, PARQUE SAN ANDRES, 4040 COYOACAN, MEXICO, CIUDAD DE MEXICO"
4423,Sumesa,1000,1000,San Ángel,Colonia,Álvaro Obregón,10,Urbano,4423,San Ángel,19.348363,-99.190051,Sumesa,1424,"Calle Cracovia 97, San Ángel, Álvaro Obregón, 01000 Ciudad de México, CDMX"
1445,Chedraui,1010,1010,Los Alpes,Colonia,Álvaro Obregón,10,Urbano,1445,Pedregal,19.335124,-99.198477,Selecto Chedraui,22,Av. San Jerónimo 236
49,City Market,1010,1010,Los Alpes,Colonia,Álvaro Obregón,10,Urbano,49,San Jerónimo,19.335648,-99.195824,City Market,9,Av San Jerónimo 190
92,Costco,1010,1010,Los Alpes,Colonia,Álvaro Obregón,10,Urbano,92,Mixcoac,19.3872687,-99.1909344,Costco,7,Blvd. Adolfo Lopez Mateos 1181
4417,La Comer,1010,1010,Los Alpes,Colonia,Álvaro Obregón,10,Urbano,4417,La Comer Insurgentes,19.366487,-99.182073,La Comer,1423,"PERPETUA 35, SAN JOSE INSURGENTES, 3900 BENITO JUAREZ, MEXICO, DISTRITO FEDERAL"
10353,Soriana,1010,1010,Los Alpes,Colonia,Álvaro Obregón,10,Urbano,10353,Mixcoac Revolucion,19.379341,-99.186723,Soriana,3729,Av. Revolucion 780
4434,Fresko,1010,1010,Los Alpes,Colonia,Álvaro Obregón,10,Urbano,4434,Fresko Miguel Ángel de Quevedo,19.342594,-99.146575,Fresko,45,"AV. MIGUEL ANGEL DE QUEVEDO 1144, PARQUE SAN ANDRES, 4040 COYOACAN, MEXICO, CIUDAD DE MEXICO"
4423,Sumesa,1010,1010,Los Alpes,Colonia,Álvaro Obregón,10,Urbano,4423,San Ángel,19.348363,-99.190051,Sumesa,1424,"Calle Cracovia 97, San Ángel, Álvaro Obregón, 01000 Ciudad de México, CDMX"
1445,Chedraui,1020,1020,Guadalupe Inn,Colonia,Álvaro Obregón,10,Urbano,1445,Pedregal,19.335124,-99.198477,Selecto Chedraui,22,Av. San Jerónimo 236
49,City Market,1020,1020,Guadalupe Inn,Colonia,Álvaro Obregón,10,Urbano,49,San Jerónimo,19.335648,-99.195824,City Market,9,Av San Jerónimo 190
92,Costco,1020,1020,Guadalupe Inn,Colonia,Álvaro Obregón,10,Urbano,92,Mixcoac,19.3872687,-99.1909344,Costco,7,Blvd. Adolfo Lopez Mateos 1181
4417,La Comer,1020,1020,Guadalupe Inn,Colonia,Álvaro Obregón,10,Urbano,4417,La Comer Insurgentes,19.366487,-99.182073,La Comer,1423,"PERPETUA 35, SAN JOSE INSURGENTES, 3900 BENITO JUAREZ, MEXICO, DISTRITO FEDERAL"
10353,Soriana,1020,1020,Guadalupe Inn,Colonia,Álvaro Obregón,10,Urbano,10353,Mixcoac Revolucion,19.379341,-99.186723,Soriana,3729,Av. Revolucion 780
4434,Fresko,1020,1020,Guadalupe Inn,Colonia,Álvaro Obregón,10,Urbano,4434,Fresko Miguel Ángel de Quevedo,19.342594,-99.146575,Fresko,45,"AV. MIGUEL ANGEL DE QUEVEDO 1144, PARQUE SAN ANDRES, 4040 COYOACAN, MEXICO, CIUDAD DE MEXICO"
4423,Sumesa,1020,1020,Guadalupe Inn,Colonia,Álvaro Obregón,10,Urbano,4423,San Ángel,19.348363,-99.190051,Sumesa,1424,"Calle Cracovia 97, San Ángel, Álvaro Obregón, 01000 Ciudad de México, CDMX"
138,Chedraui,1030,1030,Axotla,Pueblo,Álvaro Obregón,10,Urbano,138,Universidad,19.3735484,-99.1621604,Selecto Chedraui,22,Av. Universidad 740
58,City Market,1030,1030,Axotla,Pueblo,Álvaro Obregón,10,Urbano,58,Pilares,19.3789764,-99.169187,City Market,9,Av Coyoacán 1061
92,Costco,1030,1030,Axotla,Pueblo,Álvaro Obregón,10,Urbano,92,Mixcoac,19.3872687,-99.1909344,Costco,7,Blvd. Adolfo Lopez Mateos 1181
4417,La Comer,1030,1030,Axotla,Pueblo,Álvaro Obregón,10,Urbano,4417,La Comer Insurgentes,19.366487,-99.182073,La Comer,1423,"PERPETUA 35, SAN JOSE INSURGENTES, 3900 BENITO JUAREZ, MEXICO, DISTRITO FEDERAL"
10353,Soriana,1030,1030,Axotla,Pueblo,Álvaro Obregón,10,Urbano,10353,Mixcoac Revolucion,19.379341,-99.186723,Soriana,3729,Av. Revolucion 780
4434,Fresko,1030,1030,Axotla,Pueblo,Álvaro Obregón,10,Urbano,4434,Fresko Miguel Ángel de Quevedo,19.342594,-99.146575,Fresko,45,"AV. MIGUEL ANGEL DE QUEVEDO 1144, PARQUE SAN ANDRES, 4040 COYOACAN, MEXICO, CIUDAD DE MEXICO"
4423,Sumesa,1030,1030,Axotla,Pueblo,Álvaro Obregón,10,Urbano,4423,San Ángel,19.348363,-99.190051,Sumesa,1424,"Calle Cracovia 97, San Ángel, Álvaro Obregón, 01000 Ciudad de México, CDMX"
1445,Chedraui,1040,1040,Campestre,Colonia,Álvaro Obregón,10,Urbano,1445,Pedregal,19.335124,-99.198477,Selecto Chedraui,22,Av. San Jerónimo 236
49,City Market,1040,1040,Campestre,Colonia,Álvaro Obregón,10,Urbano,49,San Jerónimo,19.335648,-99.195824,City Market,9,Av San Jerónimo 190
92,Costco,1040,1040,Campestre,Colonia,Álvaro Obregón,10,Urbano,92,Mixcoac,19.3872687,-99.1909344,Costco,7,Blvd. Adolfo Lopez Mateos 1181
4417,La Comer,1040,1040,Campestre,Colonia,Álvaro Obregón,10,Urbano,4417,La Comer Insurgentes,19.366487,-99.182073,La Comer,1423,"PERPETUA 35, SAN JOSE INSURGENTES, 3900 BENITO JUAREZ, MEXICO, DISTRITO FEDERAL"
10353,Soriana,1040,1040,Campestre,Colonia,Álvaro Obregón,10,Urbano,10353,Mixcoac Revolucion,19.379341,-99.186723,Soriana,3729,Av. Revolucion 780
4434,Fresko,1040,1040,Campestre,Colonia,Álvaro Obregón,10,Urbano,4434,Fresko Miguel Ángel de Quevedo,19.342594,-99.146575,Fresko,45,"AV. MIGUEL ANGEL DE QUEVEDO 1144, PARQUE SAN ANDRES, 4040 COYOACAN, MEXICO, CIUDAD DE MEXICO"
4423,Sumesa,1040,1040,Campestre,Colonia,Álvaro Obregón,10,Urbano,4423,San Ángel,19.348363,-99.190051,Sumesa,1424,"Calle Cracovia 97, San Ángel, Álvaro Obregón, 01000 Ciudad de México, CDMX"
1445,Chedraui,1049,1049,Tlacopac,Pueblo,Álvaro Obregón,10,Urbano,1445,Pedregal,19.335124,-99.198477,Selecto Chedraui,22,Av. San Jerónimo 236
49,City Market,1049,1049,Tlacopac,Pueblo,Álvaro Obregón,10,Urbano,49,San Jerónimo,19.335648,-99.195824,City Market,9,Av San Jerónimo 190
92,Costco,1049,1049,Tlacopac,Pueblo,Álvaro Obregón,10,Urbano,92,Mixcoac,19.3872687,-99.1909344,Costco,7,Blvd. Adolfo Lopez Mateos 1181
4417,La Comer,1049,1049,Tlacopac,Pueblo,Álvaro Obregón,10,Urbano,4417,La Comer Insurgentes,19.366487,-99.182073,La Comer,1423,"PERPETUA 35, SAN JOSE INSURGENTES, 3900 BENITO JUAREZ, MEXICO, DISTRITO FEDERAL"
10002,Soriana,1049,1049,Tlacopac,Pueblo,Álvaro Obregón,10,Urbano,10002,San Jeronimo,19.330351,-99.208839,Soriana,3729,"Anillo Perif. 630, Jardines del Pedregal, Álvaro Obregón, 01900 Ciudad de México, CDMX"
4434,Fresko,1049,1049,Tlacopac,Pueblo,Álvaro Obregón,10,Urbano,4434,Fresko Miguel Ángel de Quevedo,19.342594,-99.146575,Fresko,45,"AV. MIGUEL ANGEL DE QUEVEDO 1144, PARQUE SAN ANDRES, 4040 COYOACAN, MEXICO, CIUDAD DE MEXICO"
4423,Sumesa,1049,1049,Tlacopac,Pueblo,Álvaro Obregón,10,Urbano,4423,San Ángel,19.348363,-99.190051,Sumesa,1424,"Calle Cracovia 97, San Ángel, Álvaro Obregón, 01000 Ciudad de México, CDMX"
1445,Chedraui,1050,1050,Ex-Hacienda de Guadalupe Chimalistac,Colonia,Álvaro Obregón,10,Urbano,1445,Pedregal,19.335124,-99.198477,Selecto Chedraui,22,Av. San Jerónimo 236
49,City Market,1050,1050,Ex-Hacienda de Guadalupe Chimalistac,Colonia,Álvaro Obregón,10,Urbano,49,San Jerónimo,19.335648,-99.195824,City Market,9,Av San Jerónimo 190
92,Costco,1050,1050,Ex-Hacienda de Guadalupe Chimalistac,Colonia,Álvaro Obregón,10,Urbano,92,Mixcoac,19.3872687,-99.1909344,Costco,7,Blvd. Adolfo Lopez Mateos 1181
4414,La Comer,1050,1050,Ex-Hacienda de Guadalupe Chimalistac,Colonia,Álvaro Obregón,10,Urbano,4414,La Comer Coyoacán,19.345009,-99.171911,La Comer,1423,"MIGUEL ANGEL DE QUEVEDO 443, ROMERO DE TERREROS, 4310 COYOACAN, MEXICO, DISTRITO FEDERAL"
10353,Soriana,1050,1050,Ex-Hacienda de Guadalupe Chimalistac,Colonia,Álvaro Obregón,10,Urbano,10353,Mixcoac Revolucion,19.379341,-99.186723,Soriana,3729,Av. Revolucion 780
4434,Fresko,1050,1050,Ex-Hacienda de Guadalupe Chimalistac,Colonia,Álvaro Obregón,10,Urbano,4434,Fresko Miguel Ángel de Quevedo,19.342594,-99.146575,Fresko,45,"AV. MIGUEL ANGEL DE QUEVEDO 1144, PARQUE SAN ANDRES, 4040 COYOACAN, MEXICO, CIUDAD DE MEXICO"
